Episode,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,ta50,sum,FIFO,MTWR
195,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
196,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
197,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
198,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
199,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
200,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
201,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
202,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
203,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
204,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
205,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
206,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
207,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
208,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
209,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
210,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
211,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
212,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
213,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
214,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
215,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
216,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
217,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
218,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
219,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
220,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
221,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
222,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
223,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
224,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
225,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
226,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
227,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
228,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
229,2254,2189,2119,2279,2231,2337,2128,2249,2176,2194,22156,25494,24487
230,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
231,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
232,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
233,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
234,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
235,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
236,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
237,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
238,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
239,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
240,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
241,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
242,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
243,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
244,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
245,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
246,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
247,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
248,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
249,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
250,2254,2170,2119,2279,2231,2337,2128,2249,2176,2194,22137,25494,24487
251,2254,2170,2119,2279,2231,2337,2128,2246,2176,2194,22134,25494,24487
252,2254,2170,2119,2279,2231,2337,2128,2246,2176,2194,22134,25494,24487
253,2254,2170,2119,2279,2231,2337,2128,2246,2176,2194,22134,25494,24487
254,2254,2170,2119,2279,2231,2337,2128,2246,2176,2194,22134,25494,24487
255,2254,2170,2119,2279,2231,2337,2128,2246,2176,2194,22134,25494,24487
256,2254,2170,2119,2279,2231,2337,2128,2246,2176,2194,22134,25494,24487
257,2254,2170,2119,2279,2231,2337,2128,2246,2176,2194,22134,25494,24487
258,2254,2170,2119,2279,2231,2337,2128,2246,2176,2194,22134,25494,24487
259,2254,2170,2119,2279,2231,2337,2128,2246,2176,2194,22134,25494,24487
260,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
261,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
262,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
263,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
264,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
265,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
266,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
267,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
268,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
269,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
270,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
271,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
272,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
273,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
274,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
275,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
276,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
