Episode,ta41,ta42,ta43,ta44,ta45,,sum
418,2254,2170,2119,,,,6543
419,2254,2170,2119,,,,6543
420,2254,2170,2119,,,,6543
421,2254,2170,2119,,,,6543
422,2254,2170,2119,,,,6543
423,2254,2170,2119,,,,6543
424,2254,2170,2119,,,,6543
425,2254,2170,2119,,,,6543
426,2254,2170,2119,,,,6543
427,2254,2170,2119,,,,6543
428,2254,2170,2119,,,,6543
429,2254,2170,2119,,,,6543
430,2254,2170,2119,,,,6543
431,2254,2170,2119,,,,6543
432,2254,2170,2119,,,,6543
433,2254,2170,2119,,,,6543
434,2254,2170,2119,,,,6543
435,2254,2170,2119,,,,6543
436,2254,2170,2119,,,,6543
437,2254,2170,2119,,,,6543
438,2254,2170,2119,,,,6543
439,2254,2170,2119,,,,6543
440,2254,2170,2119,,,,6543
441,2254,2170,2119,,,,6543
442,2254,2170,2119,,,,6543
443,2254,2170,2119,,,,6543
444,2254,2170,2119,,,,6543
445,2254,2170,2119,,,,6543
446,2254,2170,2119,,,,6543
447,2254,2170,2119,,,,6543
448,2254,2170,2119,,,,6543
449,2254,2170,2119,,,,6543
450,2254,2170,2119,,,,6543
451,2254,2170,2119,,,,6543
452,2254,2170,2119,,,,6543
453,2254,2170,2119,,,,6543
454,2254,2170,2119,,,,6543
455,2254,2170,2119,,,,6543
456,2254,2170,2119,,,,6543
457,2254,2170,2119,,,,6543
458,2254,2170,2119,,,,6543
459,2254,2170,2119,,,,6543
460,2254,2170,2119,,,,6543
461,2254,2170,2119,,,,6543
462,2254,2170,2119,,,,6543
463,2254,2170,2119,,,,6543
464,2254,2170,2119,,,,6543
465,2254,2170,2119,,,,6543
466,2254,2170,2119,,,,6543
467,2254,2170,2119,,,,6543
468,2254,2170,2119,,,,6543
469,2254,2170,2119,,,,6543
470,2254,2170,2119,,,,6543
471,2254,2170,2119,,,,6543
472,2254,2170,2119,,,,6543
473,2254,2170,2119,,,,6543
474,2254,2170,2119,,,,6543
475,2254,2170,2119,,,,6543
476,2254,2170,2119,,,,6543
477,2254,2170,2119,,,,6543
478,2254,2170,2119,,,,6543
479,2254,2170,2119,,,,6543
480,2254,2170,2119,,,,6543
481,2254,2170,2119,,,,6543
482,2254,2170,2119,,,,6543
483,2254,2170,2119,,,,6543
484,2254,2170,2119,,,,6543
485,2254,2170,2119,,,,6543
486,2254,2170,2119,,,,6543
487,2254,2170,2119,,,,6543
488,2254,2170,2119,,,,6543
489,2254,2170,2119,,,,6543
490,2254,2170,2119,,,,6543
491,2254,2170,2119,,,,6543
492,2254,2170,2119,,,,6543
493,2254,2170,2119,,,,6543
494,2254,2170,2119,,,,6543
495,2254,2170,2119,,,,6543
496,2254,2170,2119,,,,6543
497,2254,2170,2119,,,,6543
498,2254,2170,2119,,,,6543
499,2254,2170,2119,,,,6543
500,2254,2170,2119,,,,6543
501,2254,2170,2119,,,,6543
502,2254,2170,2119,,,,6543
503,2254,2170,2119,,,,6543
504,2254,2170,2119,,,,6543
505,2254,2170,2119,,,,6543
506,2254,2170,2119,,,,6543
507,2254,2170,2119,,,,6543
508,2254,2170,2119,,,,6543
509,2254,2170,2119,,,,6543
510,2254,2170,2119,,,,6543
511,2254,2170,2119,,,,6543
512,2254,2170,2119,,,,6543
513,2254,2170,2119,,,,6543
514,2254,2170,2119,,,,6543
515,2254,2170,2119,,,,6543
516,2254,2170,2119,,,,6543
517,2254,2170,2119,,,,6543
518,2254,2170,2119,,,,6543
519,2254,2170,2119,,,,6543
520,2254,2170,2119,,,,6543
521,2254,2170,2119,,,,6543
522,2254,2170,2119,,,,6543
523,2254,2170,2119,,,,6543
524,2254,2170,2119,,,,6543
525,2254,2170,2119,,,,6543
526,2254,2170,2119,,,,6543
527,2254,2170,2119,,,,6543
528,2254,2170,2119,,,,6543
529,2254,2170,2119,,,,6543
530,2254,2170,2119,,,,6543
531,2254,2170,2119,,,,6543
532,2254,2170,2119,,,,6543
533,2254,2170,2119,,,,6543
534,2254,2170,2119,,,,6543
535,2254,2170,2119,,,,6543
536,2254,2170,2119,,,,6543
537,2254,2170,2119,,,,6543
538,2254,2170,2119,,,,6543
539,2254,2170,2119,,,,6543
540,2254,2170,2119,,,,6543
541,2254,2170,2119,,,,6543
542,2254,2170,2119,,,,6543
543,2254,2170,2119,,,,6543
544,2254,2170,2119,,,,6543
545,2254,2170,2119,,,,6543
546,2254,2170,2119,,,,6543
547,2254,2170,2119,,,,6543
548,2254,2170,2119,,,,6543
549,2254,2170,2119,,,,6543
550,2254,2170,2119,,,,6543
551,2254,2170,2119,,,,6543
552,2254,2170,2119,,,,6543
553,2254,2170,2119,,,,6543
554,2254,2170,2119,,,,6543
555,2254,2170,2119,,,,6543
556,2254,2170,2119,,,,6543
557,2254,2170,2119,,,,6543
558,2254,2170,2119,,,,6543
559,2254,2170,2119,,,,6543
560,2254,2170,2119,,,,6543
561,2254,2170,2119,,,,6543
562,2254,2170,2119,,,,6543
563,2254,2170,2119,,,,6543
564,2254,2170,2119,,,,6543
565,2254,2170,2119,,,,6543
566,2254,2170,2119,,,,6543
567,2254,2170,2119,,,,6543
568,2254,2170,2119,,,,6543
569,2254,2170,2119,,,,6543
570,2254,2170,2119,,,,6543
571,2254,2170,2119,,,,6543
572,2254,2170,2119,,,,6543
573,2254,2170,2119,,,,6543
574,2254,2170,2119,,,,6543
575,2254,2170,2119,,,,6543
576,2254,2170,2119,,,,6543
577,2254,2170,2119,,,,6543
578,2254,2170,2119,,,,6543
579,2254,2170,2119,,,,6543
580,2254,2170,2119,,,,6543
581,2254,2170,2119,,,,6543
582,2254,2170,2119,,,,6543
583,2254,2170,2119,,,,6543
584,2254,2170,2119,,,,6543
585,2254,2170,2119,,,,6543
586,2254,2170,2119,,,,6543
587,2254,2170,2119,,,,6543
588,2254,2170,2119,,,,6543
589,2254,2170,2119,,,,6543
590,2254,2170,2119,,,,6543
591,2254,2170,2119,,,,6543
592,2254,2170,2119,,,,6543
593,2254,2170,2119,,,,6543
594,2254,2170,2119,,,,6543
595,2254,2170,2119,,,,6543
596,2254,2170,2119,,,,6543
597,2254,2170,2119,,,,6543
598,2254,2170,2119,,,,6543
599,2254,2170,2119,,,,6543
600,2254,2170,2119,,,,6543
601,2254,2170,2119,,,,6543
602,2254,2170,2119,,,,6543
603,2254,2170,2119,,,,6543
604,2254,2170,2119,,,,6543
605,2254,2170,2119,,,,6543
606,2254,2170,2119,,,,6543
607,2254,2170,2119,,,,6543
608,2254,2170,2119,,,,6543
609,2254,2170,2119,,,,6543
610,2254,2170,2119,,,,6543
611,2254,2170,2119,,,,6543
612,2254,2170,2119,,,,6543
613,2254,2170,2119,,,,6543
614,2254,2170,2119,,,,6543
615,2254,2170,2119,,,,6543
616,2254,2170,2119,,,,6543
617,2254,2170,2119,,,,6543
618,2254,2170,2119,,,,6543
619,2254,2170,2119,,,,6543
620,2254,2170,2119,,,,6543
621,2254,2170,2119,,,,6543
622,2254,2170,2119,,,,6543
623,2254,2170,2119,,,,6543
624,2254,2170,2119,,,,6543
625,2254,2170,2119,,,,6543
626,2254,2170,2119,,,,6543
627,2254,2170,2119,,,,6543
628,2254,2170,2119,,,,6543
629,2254,2170,2119,,,,6543
630,2254,2170,2119,,,,6543
631,2254,2170,2119,,,,6543
632,2254,2170,2119,,,,6543
633,2254,2170,2119,,,,6543
634,2254,2170,2119,,,,6543
635,2254,2170,2119,,,,6543
636,2254,2170,2119,,,,6543
637,2254,2170,2119,,,,6543
638,2254,2170,2119,,,,6543
639,2254,2170,2119,,,,6543
640,2254,2170,2119,,,,6543
641,2254,2170,2119,,,,6543
642,2254,2170,2119,,,,6543
643,2254,2170,2119,,,,6543
644,2254,2170,2119,,,,6543
645,2254,2170,2119,,,,6543
646,2254,2170,2119,,,,6543
647,2254,2170,2119,,,,6543
648,2254,2170,2119,,,,6543
649,2254,2170,2119,,,,6543
650,2254,2170,2119,,,,6543
651,2254,2170,2119,,,,6543
652,2254,2170,2119,,,,6543
653,2254,2170,2119,,,,6543
654,2254,2170,2119,,,,6543
655,2254,2170,2119,,,,6543
656,2254,2170,2119,,,,6543
657,2254,2170,2119,,,,6543
658,2254,2170,2119,,,,6543
659,2254,2170,2119,,,,6543
660,2254,2170,2119,,,,6543
661,2254,2170,2119,,,,6543
662,2254,2170,2119,,,,6543
663,2254,2170,2119,,,,6543
664,2254,2170,2119,,,,6543
665,2254,2170,2119,,,,6543
666,2254,2170,2119,,,,6543
667,2254,2170,2119,,,,6543
668,2254,2170,2119,,,,6543
669,2254,2170,2119,,,,6543
670,2254,2170,2119,,,,6543
671,2254,2170,2119,,,,6543
672,2254,2170,2119,,,,6543
673,2254,2170,2119,,,,6543
674,2254,2170,2119,,,,6543
675,2254,2170,2119,,,,6543
676,2254,2170,2119,,,,6543
677,2254,2170,2119,,,,6543
678,2254,2170,2119,,,,6543
679,2254,2170,2119,,,,6543
680,2254,2170,2119,,,,6543
681,2254,2170,2119,,,,6543
682,2254,2170,2119,,,,6543
683,2254,2170,2119,,,,6543
684,2254,2170,2119,,,,6543
685,2254,2170,2119,,,,6543
686,2254,2170,2119,,,,6543
687,2254,2170,2119,,,,6543
688,2254,2170,2119,,,,6543
689,2254,2170,2119,,,,6543
690,2254,2170,2119,,,,6543
691,2254,2170,2119,,,,6543
692,2254,2170,2119,,,,6543
693,2254,2170,2119,,,,6543
694,2254,2170,2119,,,,6543
695,2254,2170,2119,,,,6543
696,2254,2170,2119,,,,6543
697,2254,2170,2119,,,,6543
698,2254,2170,2119,,,,6543
699,2254,2170,2119,,,,6543
700,2254,2170,2119,,,,6543
701,2254,2170,2119,,,,6543
702,2254,2170,2119,,,,6543
703,2254,2170,2119,,,,6543
704,2254,2170,2119,,,,6543
705,2254,2170,2119,,,,6543
706,2254,2170,2119,,,,6543
707,2254,2170,2119,,,,6543
708,2254,2170,2119,,,,6543
709,2254,2170,2119,,,,6543
710,2254,2170,2119,,,,6543
711,2254,2170,2119,,,,6543
712,2254,2170,2119,,,,6543
713,2254,2170,2119,,,,6543
714,2254,2170,2119,,,,6543
715,2254,2170,2119,,,,6543
716,2254,2170,2119,,,,6543
717,2254,2170,2119,,,,6543
718,2254,2170,2119,,,,6543
719,2254,2170,2119,,,,6543
720,2254,2170,2119,,,,6543
721,2254,2170,2119,,,,6543
722,2254,2170,2119,,,,6543
723,2254,2170,2119,,,,6543
724,2254,2170,2119,,,,6543
725,2254,2170,2119,,,,6543
726,2254,2170,2119,,,,6543
727,2254,2170,2119,,,,6543
728,2254,2170,2119,,,,6543
729,2254,2170,2119,,,,6543
730,2254,2170,2119,,,,6543
731,2254,2170,2119,,,,6543
732,2254,2170,2119,,,,6543
733,2254,2170,2119,,,,6543
734,2254,2170,2119,,,,6543
735,2254,2170,2119,,,,6543
736,2254,2170,2119,,,,6543
737,2254,2170,2119,,,,6543
738,2254,2170,2119,,,,6543
739,2254,2170,2119,,,,6543
740,2254,2170,2119,,,,6543
741,2254,2170,2119,,,,6543
742,2254,2170,2119,,,,6543
743,2254,2170,2119,,,,6543
744,2254,2170,2119,,,,6543
745,2254,2170,2119,,,,6543
746,2254,2170,2119,,,,6543
747,2254,2170,2119,,,,6543
748,2254,2170,2119,,,,6543
749,2254,2170,2119,,,,6543
750,2254,2170,2119,,,,6543
751,2254,2170,2119,,,,6543
752,2254,2170,2119,,,,6543
753,2254,2170,2119,,,,6543
754,2254,2170,2119,,,,6543
755,2254,2170,2119,,,,6543
756,2254,2170,2119,,,,6543
